;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
231;bbbp;LogisticRegression;"InpharmaticaFilter;LipinskiFilter";83.622;-2.5368;96.9664
641;bbbp;GradientBoostingClassifier;"GSKFilter;LINTFilter";82.8586;-1.7854;97.8452
323;bbbp;LogisticRegression;"MolecularWeightFilter;ZINCBasicFilter";83.622;-2.5706;96.9259
640;bbbp;GradientBoostingClassifier;"GSKFilter;InpharmaticaFilter";82.8586;-1.8156;97.8088
518;bbbp;GradientBoostingClassifier;"BrenkFilter;LINTFilter";82.8586;-1.8772;97.7344
817;bbbp;GradientBoostingClassifier;"OpreaFilter;TiceInsecticidesFilter";82.8586;-1.8978;97.7096
697;bbbp;GradientBoostingClassifier;"InpharmaticaFilter;SureChEMBLFilter";82.8586;-1.9533;97.6426
814;bbbp;GradientBoostingClassifier;"OpreaFilter;RuleOfXuFilter";82.8586;-1.969;97.6236
542;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;GSKFilter";82.8586;-1.9775;97.6134
551;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;OpreaFilter";82.8586;-1.9896;97.5988
560;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;SureChEMBLFilter";82.8586;-2.0633;97.5099
720;bbbp;GradientBoostingClassifier;"LINTFilter;ValenceDiscoveryFilter";82.8586;-2.0681;97.5041
243;bbbp;LogisticRegression;"InpharmaticaFilter;RuleOfVeberFilter";83.622;-2.8605;96.5792
818;bbbp;GradientBoostingClassifier;"OpreaFilter;ValenceDiscoveryFilter";82.8586;-2.0995;97.4662
329;bbbp;LogisticRegression;"NIBRFilter;REOSFilter";83.622;-2.8654;96.5734
362;bbbp;LogisticRegression;"OpreaFilter;RuleOfXuFilter";83.622;-2.9088;96.5214
276;bbbp;LogisticRegression;"LipinskiFilter;PAINSFilter";83.622;-2.9137;96.5157
565;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;ZINCDruglikeFilter";82.8586;-2.1551;97.3991
564;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;ZINCBasicFilter";82.8586;-2.1708;97.3802
831;bbbp;GradientBoostingClassifier;"PAINSFilter;ValenceDiscoveryFilter";82.8586;-2.2058;97.3379
513;bbbp;GradientBoostingClassifier;"BrenkFilter;GhoseFilter";82.8586;-2.207;97.3364
898;bbbp;GradientBoostingClassifier;"TiceInsecticidesFilter;ValenceDiscoveryFilter";82.8586;-2.213;97.3291
685;bbbp;GradientBoostingClassifier;"InpharmaticaFilter;MolecularWeightFilter";82.8586;-2.2227;97.3175
766;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;RuleOfFourFilter";82.8586;-2.2312;97.3073
428;bbbp;LogisticRegression;"RuleOfVeberFilter;ValenceDiscoveryFilter";83.622;-2.9958;96.4174
614;bbbp;GradientBoostingClassifier;"GhoseFilter;ZINCDruglikeFilter";82.8586;-2.2469;97.2883
367;bbbp;LogisticRegression;"OpreaFilter;ZINCBasicFilter";83.622;-3.0151;96.3943
612;bbbp;GradientBoostingClassifier;"GhoseFilter;ValenceDiscoveryFilter";82.8586;-2.2517;97.2825
403;bbbp;LogisticRegression;"RuleOfFourFilter;SureChEMBLFilter";83.622;-3.0248;96.3828
10;bbbp;LogisticRegression;"BeyondRo5Filter;LipinskiFilter";83.622;-3.0417;96.3625
880;bbbp;GradientBoostingClassifier;"RuleOfVeberFilter;ValenceDiscoveryFilter";82.8586;-2.2976;97.2271
820;bbbp;GradientBoostingClassifier;"OpreaFilter;ZINCDruglikeFilter";82.8586;-2.335;97.1819
599;bbbp;GradientBoostingClassifier;"GhoseFilter;NIBRFilter";82.8586;-2.3508;97.1629
703;bbbp;GradientBoostingClassifier;"LINTFilter;LipinskiFilter";82.8586;-2.3532;97.16
339;bbbp;LogisticRegression;"NIBRFilter;ZINCBasicFilter";83.622;-3.1746;96.2036
478;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;TiceInsecticidesFilter";82.8586;-2.4232;97.0755
688;bbbp;GradientBoostingClassifier;"InpharmaticaFilter;OpreaFilter";82.8586;-2.4498;97.0434
663;bbbp;GradientBoostingClassifier;"HaoFilter;LipinskiFilter";82.8586;-2.4679;97.0215
470;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;REOSFilter";82.8586;-2.4885;96.9967
393;bbbp;LogisticRegression;"REOSFilter;RuleOfVeberFilter";83.622;-3.2519;96.1112
559;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;RuleOfXuFilter";82.8586;-2.4969;96.9865
259;bbbp;LogisticRegression;"LINTFilter;REOSFilter";83.622;-3.2761;96.0823
891;bbbp;GradientBoostingClassifier;"SureChEMBLFilter;ValenceDiscoveryFilter";82.8586;-2.5344;96.9413
679;bbbp;GradientBoostingClassifier;"HaoFilter;ValenceDiscoveryFilter";82.8586;-2.5344;96.9413
287;bbbp;LogisticRegression;"LipinskiFilter;ValenceDiscoveryFilter";83.622;-3.3099;96.0418
646;bbbp;GradientBoostingClassifier;"GSKFilter;NIHFilter";82.8586;-2.5525;96.9195
792;bbbp;GradientBoostingClassifier;"NIBRFilter;ZINCDruglikeFilter";82.8586;-2.5706;96.8976
356;bbbp;LogisticRegression;"OpreaFilter;PAINSFilter";83.622;-3.351;95.9927
459;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;HaoFilter";82.8586;-2.6105;96.8495
239;bbbp;LogisticRegression;"InpharmaticaFilter;REOSFilter";83.622;-3.3896;95.9465
461;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;LINTFilter";82.8586;-2.6395;96.8145
469;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;PfizerFilter";82.8586;-2.6443;96.8087
246;bbbp;LogisticRegression;"InpharmaticaFilter;TiceHerbicidesFilter";83.622;-3.409;95.9234
19;bbbp;LogisticRegression;"BeyondRo5Filter;RuleOfFourFilter";83.622;-3.4162;95.9147
701;bbbp;GradientBoostingClassifier;"InpharmaticaFilter;ZINCBasicFilter";82.8586;-2.654;96.797
552;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;PAINSFilter";82.8586;-2.6745;96.7722
680;bbbp;GradientBoostingClassifier;"HaoFilter;ZINCBasicFilter";82.8586;-2.6854;96.7591
380;bbbp;LogisticRegression;"PAINSFilter;ZINCBasicFilter";83.622;-3.4524;95.8714
668;bbbp;GradientBoostingClassifier;"HaoFilter;OpreaFilter";82.8586;-2.7107;96.7285
27;bbbp;LogisticRegression;"BeyondRo5Filter;ValenceDiscoveryFilter";83.622;-3.479;95.8396
639;bbbp;GradientBoostingClassifier;"GSKFilter;HaoFilter";82.8586;-2.7264;96.7095
760;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;NIBRFilter";82.8586;-2.7276;96.7081
322;bbbp;LogisticRegression;"MolecularWeightFilter;ValenceDiscoveryFilter";83.622;-3.5273;95.7818
849;bbbp;GradientBoostingClassifier;"REOSFilter;TiceInsecticidesFilter";82.8586;-2.7784;96.6468
278;bbbp;LogisticRegression;"LipinskiFilter;REOSFilter";83.622;-3.566;95.7356
608;bbbp;GradientBoostingClassifier;"GhoseFilter;RuleOfXuFilter";82.8586;-2.8195;96.5973
738;bbbp;GradientBoostingClassifier;"LipinskiFilter;TiceInsecticidesFilter";82.8586;-2.8219;96.5944
902;bbbp;GradientBoostingClassifier;"ValenceDiscoveryFilter;ZINCDruglikeFilter";82.8586;-2.8448;96.5667
496;bbbp;GradientBoostingClassifier;"BMSFilter;OpreaFilter";82.8586;-2.8581;96.5506
773;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;TiceInsecticidesFilter";82.8586;-2.8654;96.5419
554;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;REOSFilter";82.8586;-2.8678;96.539
788;bbbp;GradientBoostingClassifier;"NIBRFilter;TiceHerbicidesFilter";82.8586;-2.8871;96.5156
793;bbbp;GradientBoostingClassifier;"NIHFilter;OpreaFilter";82.8586;-2.8883;96.5142
18;bbbp;LogisticRegression;"BeyondRo5Filter;REOSFilter";83.622;-3.6602;95.6229
821;bbbp;GradientBoostingClassifier;"PAINSFilter;PfizerFilter";82.8586;-2.9088;96.4894
900;bbbp;GradientBoostingClassifier;"TiceInsecticidesFilter;ZINCDruglikeFilter";82.8586;-2.9125;96.485
450;bbbp;LogisticRegression;"ValenceDiscoveryFilter;ZINCDruglikeFilter";83.622;-3.6844;95.594
313;bbbp;LogisticRegression;"MolecularWeightFilter;REOSFilter";83.622;-3.6844;95.594
236;bbbp;LogisticRegression;"InpharmaticaFilter;OpreaFilter";83.622;-3.6868;95.5911
682;bbbp;GradientBoostingClassifier;"InpharmaticaFilter;LINTFilter";82.8586;-2.9258;96.469
28;bbbp;LogisticRegression;"BeyondRo5Filter;ZINCBasicFilter";83.622;-3.694;95.5825
508;bbbp;GradientBoostingClassifier;"BMSFilter;ValenceDiscoveryFilter";82.8586;-2.9354;96.4573
318;bbbp;LogisticRegression;"MolecularWeightFilter;RuleOfXuFilter";83.622;-3.7158;95.5565
