;Dataset;Model;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1201;lipophilicity;SGD;RuleOfVeberFilter, RuleOfXuFilter;482070154095.9755;390652672216.8814;81.03647755366042
944;lipophilicity;SGD;GlaxoFilter, NIHFilter;482070154095.9755;400254029132.326;83.0281704294515
1547;lipophilicity;SGD;BeyondRo5Filter, BrenkFilter;427781094874.2798;358876668606.6448;83.89259668244917
1207;lipophilicity;SGD;RuleOfVeberFilter, ZINCDruglikeFilter;482070154095.9755;405540772734.7116;84.12484558294649
958;lipophilicity;SGD;GlaxoFilter, ZINCBasicFilter;482070154095.9755;405941716100.5368;84.20801674847469
1568;lipophilicity;SGD;BeyondRo5Filter, RuleOfVeberFilter;427781094874.2798;360438509284.5018;84.25769946435588
1631;lipophilicity;SGD;BrenkFilter, ZINCBasicFilter;427781094874.2798;361839711089.7842;84.58525059320935
1569;lipophilicity;SGD;BeyondRo5Filter, RuleOfXuFilter;427781094874.2798;366407118956.8681;85.65294804917716
1576;lipophilicity;SGD;BMSFilter, BrenkFilter;427781094874.2798;368099749789.2578;86.04862491584355
1149;lipophilicity;SGD;PAINSFilter, RuleOfVeberFilter;482070154095.9755;415591247983.8444;86.20970297636477
1573;lipophilicity;SGD;BeyondRo5Filter, ValenceDiscoveryFilter;427781094874.2798;370213480999.9651;86.54274006867153
1213;lipophilicity;SGD;RuleOfXuFilter, ZINCDruglikeFilter;482070154095.9755;417696548019.9062;86.6464236524269
1218;lipophilicity;SGD;SureChEMBLFilter, ZINCDruglikeFilter;482070154095.9755;420963830273.4165;87.32418439445779
1050;lipophilicity;SGD;LipinskiFilter, PAINSFilter;482070154095.9755;421920760605.576;87.52268876649345
1099;lipophilicity;SGD;NIBRFilter, NIHFilter;482070154095.9755;427422237422.8418;88.66390789622419
1177;lipophilicity;SGD;REOSFilter, ZINCDruglikeFilter;482070154095.9755;427878098147.7774;88.75847104664169
1047;lipophilicity;SGD;LipinskiFilter, NIBRFilter;482070154095.9755;429941875557.213;89.18657832353914
1114;lipophilicity;SGD;NIBRFilter, ZINCDruglikeFilter;482070154095.9755;430324531148.439;89.26595589710902
1643;lipophilicity;SGD;FAF4DruglikeFilter, NIBRFilter;427781094874.2798;383633016830.8472;89.67975009358298
497;lipophilicity;MLP;BMSFilter, MolecularWeightFilter;1.0169;0.9251;90.96552604714513
766;lipophilicity;MLP;MolecularWeightFilter, NIHFilter;1.0169;0.9251;90.96552604714513
953;lipophilicity;SGD;GlaxoFilter, RuleOfXuFilter;482070154095.9755;440719490555.4266;91.4222726320625
1059;lipophilicity;SGD;LipinskiFilter, TiceHerbicidesFilter;482070154095.9755;443333348309.2769;91.96448785356944
499;lipophilicity;MLP;BMSFilter, NIHFilter;1.0169;0.9362;92.05491741228104
1635;lipophilicity;SGD;FAF4DruglikeFilter, GlaxoFilter;427781094874.2798;397230295439.4752;92.85831005603856
542;lipophilicity;MLP;BrenkFilter, ZINCDruglikeFilter;1.0169;0.9446;92.88675884167577
470;lipophilicity;MLP;BeyondRo5Filter, NIHFilter;1.0169;0.9446;92.88679741110418
456;lipophilicity;MLP;BeyondRo5Filter, BMSFilter;1.0169;0.9446;92.88679741110418
796;lipophilicity;MLP;NIBRFilter, ZINCBasicFilter;1.0169;0.945;92.92580535011507
857;lipophilicity;MLP;REOSFilter, TiceInsecticidesFilter;1.0169;0.9456;92.98878125738716
946;lipophilicity;SGD;GlaxoFilter, PAINSFilter;482070154095.9755;449694540699.038;93.28404525319527
1058;lipophilicity;SGD;LipinskiFilter, SureChEMBLFilter;482070154095.9755;449978004720.6646;93.3428466577664
896;lipophilicity;MLP;RuleOfXuFilter, ZINCDruglikeFilter;1.0169;0.9512;93.5316516618723
780;lipophilicity;MLP;MolecularWeightFilter, ZINCBasicFilter;1.0169;0.9527;93.68278449870652
906;lipophilicity;MLP;TiceInsecticidesFilter, ValenceDiscoveryFilter;1.0169;0.9534;93.75478340219193
1024;lipophilicity;SGD;InpharmaticaFilter, ZINCDruglikeFilter;482070154095.9755;452393275184.6154;93.8438671925224
529;lipophilicity;MLP;BrenkFilter, PAINSFilter;1.0169;0.9549;93.89675534380126
626;lipophilicity;MLP;GlaxoFilter, NIBRFilter;1.0169;0.956;94.0088979188036
1208;lipophilicity;SGD;RuleOfXuFilter, SureChEMBLFilter;482070154095.9755;453330230686.0863;94.038228011899
493;lipophilicity;MLP;BMSFilter, InpharmaticaFilter;1.0169;0.9603;94.42473478072945
692;lipophilicity;MLP;InpharmaticaFilter, NIHFilter;1.0169;0.9603;94.42473478072945
553;lipophilicity;MLP;FAF4DruglikeFilter, NIBRFilter;1.0169;0.9606;94.45788485563429
1226;lipophilicity;SGD;ValenceDiscoveryFilter, ZINCBasicFilter;482070154095.9755;455546988021.9275;94.49806924392844
468;lipophilicity;MLP;BeyondRo5Filter, MolecularWeightFilter;1.0169;0.9611;94.51065532222944
631;lipophilicity;MLP;GlaxoFilter, REOSFilter;1.0169;0.9618;94.5805507382517
694;lipophilicity;MLP;InpharmaticaFilter, PAINSFilter;1.0169;0.9619;94.58610025450224
479;lipophilicity;MLP;BeyondRo5Filter, RuleOfXuFilter;1.0169;0.962;94.59861050476908
637;lipophilicity;MLP;GlaxoFilter, SureChEMBLFilter;1.0169;0.9644;94.83226883624214
1112;lipophilicity;SGD;NIBRFilter, ValenceDiscoveryFilter;482070154095.9755;457594805901.5103;94.92286589690173
1064;lipophilicity;SGD;MLSMRFilter, MolecularWeightFilter;482070154095.9755;457648150995.9067;94.9339317332625
625;lipophilicity;MLP;GlaxoFilter, MolecularWeightFilter;1.0169;0.967;95.08520642570434
832;lipophilicity;MLP;PAINSFilter, RuleOfVeberFilter;1.0169;0.9682;95.20685176755744
511;lipophilicity;MLP;BMSFilter, TiceInsecticidesFilter;1.0169;0.9687;95.25450430801529
809;lipophilicity;MLP;NIHFilter, TiceInsecticidesFilter;1.0169;0.9687;95.25450430801529
536;lipophilicity;MLP;BrenkFilter, RuleOfXuFilter;1.0169;0.9687;95.2573899329107
480;lipophilicity;MLP;BeyondRo5Filter, SureChEMBLFilter;1.0169;0.969;95.28446621486036
537;lipophilicity;MLP;BrenkFilter, SureChEMBLFilter;1.0169;0.9698;95.36173126036569
740;lipophilicity;MLP;LipinskiFilter, RuleOfXuFilter;1.0169;0.9702;95.40764081451299
1155;lipophilicity;SGD;PAINSFilter, ZINCBasicFilter;482070154095.9755;460313516763.746;95.48683170958184
786;lipophilicity;MLP;NIBRFilter, REOSFilter;1.0169;0.9715;95.53016948957303
907;lipophilicity;MLP;TiceInsecticidesFilter, ZINCBasicFilter;1.0169;0.9715;95.53550107106182
1093;lipophilicity;SGD;MolecularWeightFilter, SureChEMBLFilter;482070154095.9755;460836784699.8987;95.59537772341544
641;lipophilicity;MLP;GlaxoFilter, ZINCBasicFilter;1.0169;0.973;95.67408269703861
1109;lipophilicity;SGD;NIBRFilter, SureChEMBLFilter;482070154095.9755;461218512802.6795;95.67456289999969
765;lipophilicity;MLP;MolecularWeightFilter, NIBRFilter;1.0169;0.9736;95.73836120480162
828;lipophilicity;MLP;PAINSFilter, REOSFilter;1.0169;0.9749;95.86700013941969
707;lipophilicity;MLP;InpharmaticaFilter, ZINCDruglikeFilter;1.0169;0.9753;95.89970620417321
1019;lipophilicity;SGD;InpharmaticaFilter, SureChEMBLFilter;482070154095.9755;462820032289.9811;96.00678000028977
731;lipophilicity;MLP;LipinskiFilter, NIHFilter;1.0169;0.9775;96.12067860226176
495;lipophilicity;MLP;BMSFilter, LipinskiFilter;1.0169;0.9775;96.12067860226176
636;lipophilicity;MLP;GlaxoFilter, RuleOfXuFilter;1.0169;0.9786;96.22556210692534
540;lipophilicity;MLP;BrenkFilter, ValenceDiscoveryFilter;1.0169;0.9788;96.24583069117728
893;lipophilicity;MLP;RuleOfXuFilter, TiceInsecticidesFilter;1.0169;0.9793;96.29416404004198
794;lipophilicity;MLP;NIBRFilter, TiceInsecticidesFilter;1.0169;0.9805;96.41263765110443
482;lipophilicity;MLP;BeyondRo5Filter, TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
743;lipophilicity;MLP;LipinskiFilter, TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
778;lipophilicity;MLP;MolecularWeightFilter, TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
729;lipophilicity;MLP;LipinskiFilter, MolecularWeightFilter;1.0169;0.9806;96.42239710044845
811;lipophilicity;MLP;NIHFilter, ZINCBasicFilter;1.0169;0.9809;96.4546365605552
513;lipophilicity;MLP;BMSFilter, ZINCBasicFilter;1.0169;0.9809;96.4546365605552
836;lipophilicity;MLP;PAINSFilter, TiceInsecticidesFilter;1.0169;0.9812;96.48193582650612
745;lipophilicity;MLP;LipinskiFilter, ZINCBasicFilter;1.0169;0.9814;96.50756932597116
526;lipophilicity;MLP;BrenkFilter, NIBRFilter;1.0169;0.9817;96.53338436150906
1103;lipophilicity;SGD;NIBRFilter, REOSFilter;482070154095.9755;465556088356.9809;96.57434387947883
797;lipophilicity;MLP;NIBRFilter, ZINCDruglikeFilter;1.0169;0.9825;96.61097308983567
566;lipophilicity;MLP;FAF4DruglikeFilter, TiceInsecticidesFilter;1.0169;0.9825;96.61325505113223
704;lipophilicity;MLP;InpharmaticaFilter, TiceInsecticidesFilter;1.0169;0.9826;96.62309228498015
696;lipophilicity;MLP;InpharmaticaFilter, REOSFilter;1.0169;0.9828;96.63865987590971
700;lipophilicity;MLP;InpharmaticaFilter, RuleOfVeberFilter;1.0169;0.9829;96.64767955292581
521;lipophilicity;MLP;BrenkFilter, InpharmaticaFilter;1.0169;0.9829;96.6564182833034
1145;lipophilicity;SGD;PAINSFilter, REOSFilter;482070154095.9755;466113644347.0992;96.69000256222053
615;lipophilicity;MLP;GhoseFilter, TiceInsecticidesFilter;1.0169;0.9833;96.6905561555685
887;lipophilicity;MLP;RuleOfVeberFilter, TiceInsecticidesFilter;1.0169;0.9834;96.698192964286
1063;lipophilicity;SGD;LipinskiFilter, ZINCDruglikeFilter;482070154095.9755;466204357725.4673;96.70882002635877
1619;lipophilicity;SGD;BrenkFilter, PAINSFilter;427781094874.2798;413761664221.8604;96.72275590941216
1560;lipophilicity;SGD;BeyondRo5Filter, NIHFilter;427781094874.2798;414372591506.312;96.86556897239502
1599;lipophilicity;SGD;BMSFilter, SureChEMBLFilter;427781094874.2798;414381754953.9546;96.86771106042845
621;lipophilicity;MLP;GlaxoFilter, InpharmaticaFilter;1.0169;0.9851;96.8722719269529
461;lipophilicity;MLP;BeyondRo5Filter, GlaxoFilter;1.0169;0.9853;96.8921837764163
539;lipophilicity;MLP;BrenkFilter, TiceInsecticidesFilter;1.0169;0.9855;96.91041993763776
941;lipophilicity;SGD;GlaxoFilter, MLSMRFilter;482070154095.9755;467207768670.5244;96.9169662757234
525;lipophilicity;MLP;BrenkFilter, MolecularWeightFilter;1.0169;0.9858;96.93503482918344
531;lipophilicity;MLP;BrenkFilter, REOSFilter;1.0169;0.9864;96.99269211507693
776;lipophilicity;MLP;MolecularWeightFilter, SureChEMBLFilter;1.0169;0.9873;97.08450842150877
596;lipophilicity;MLP;GhoseFilter, GSKFilter;1.0169;0.9877;97.12707376357025
1551;lipophilicity;SGD;BeyondRo5Filter, GlaxoFilter;427781094874.2798;415616272766.7556;97.15629740227317
486;lipophilicity;MLP;BMSFilter, BrenkFilter;1.0169;0.9881;97.16348898269261
527;lipophilicity;MLP;BrenkFilter, NIHFilter;1.0169;0.9881;97.16348898269261
627;lipophilicity;MLP;GlaxoFilter, NIHFilter;1.0169;0.9882;97.17269886731181
490;lipophilicity;MLP;BMSFilter, GlaxoFilter;1.0169;0.9882;97.17269886731181
523;lipophilicity;MLP;BrenkFilter, LipinskiFilter;1.0169;0.9884;97.18979829414127
618;lipophilicity;MLP;GhoseFilter, ZINCDruglikeFilter;1.0169;0.9891;97.25899727721402
514;lipophilicity;MLP;BMSFilter, ZINCDruglikeFilter;1.0169;0.9892;97.2714574026979
812;lipophilicity;MLP;NIHFilter, ZINCDruglikeFilter;1.0169;0.9892;97.2714574026979
604;lipophilicity;MLP;GhoseFilter, NIHFilter;1.0169;0.9896;97.30699965780302
489;lipophilicity;MLP;BMSFilter, GhoseFilter;1.0169;0.9896;97.30699965780302
853;lipophilicity;MLP;REOSFilter, RuleOfVeberFilter;1.0169;0.9896;97.31069288632163
501;lipophilicity;MLP;BMSFilter, PAINSFilter;1.0169;0.9902;97.36498774770249
799;lipophilicity;MLP;NIHFilter, PAINSFilter;1.0169;0.9902;97.36498774770249
790;lipophilicity;MLP;NIBRFilter, RuleOfVeberFilter;1.0169;0.9904;97.38902762984165
859;lipophilicity;MLP;REOSFilter, ZINCBasicFilter;1.0169;0.9907;97.41697345907431
623;lipophilicity;MLP;GlaxoFilter, LipinskiFilter;1.0169;0.9915;97.49919583868716
639;lipophilicity;MLP;GlaxoFilter, TiceInsecticidesFilter;1.0169;0.9916;97.5036015205055
899;lipophilicity;MLP;SureChEMBLFilter, ValenceDiscoveryFilter;1.0169;0.9916;97.50376394373629
781;lipophilicity;MLP;MolecularWeightFilter, ZINCDruglikeFilter;1.0169;0.9922;97.5712154716388
898;lipophilicity;MLP;SureChEMBLFilter, TiceInsecticidesFilter;1.0169;0.9928;97.62631609683258
688;lipophilicity;MLP;InpharmaticaFilter, LipinskiFilter;1.0169;0.994;97.74761271336611
508;lipophilicity;MLP;BMSFilter, RuleOfXuFilter;1.0169;0.994;97.74771692191771
806;lipophilicity;MLP;NIHFilter, RuleOfXuFilter;1.0169;0.994;97.74771692191771
807;lipophilicity;MLP;NIHFilter, SureChEMBLFilter;1.0169;0.9941;97.75505181400705
509;lipophilicity;MLP;BMSFilter, SureChEMBLFilter;1.0169;0.9941;97.75505181400705
595;lipophilicity;MLP;GhoseFilter, GlaxoFilter;1.0169;0.9947;97.80896832181719
464;lipophilicity;MLP;BeyondRo5Filter, InpharmaticaFilter;1.0169;0.9947;97.81475946257336
562;lipophilicity;MLP;FAF4DruglikeFilter, RuleOfVeberFilter;1.0169;0.9948;97.81993173688186
908;lipophilicity;MLP;TiceInsecticidesFilter, ZINCDruglikeFilter;1.0169;0.9949;97.82886056838348
613;lipophilicity;MLP;GhoseFilter, SureChEMBLFilter;1.0169;0.9949;97.83186733223634
457;lipophilicity;MLP;BeyondRo5Filter, BrenkFilter;1.0169;0.9952;97.86490885694776
744;lipophilicity;MLP;LipinskiFilter, ValenceDiscoveryFilter;1.0169;0.9952;97.8656085594736
574;lipophilicity;MLP;FAF4LeadlikeFilter, InpharmaticaFilter;1.0169;0.9955;97.89158814892241
911;lipophilicity;MLP;ZINCBasicFilter, ZINCDruglikeFilter;1.0169;0.9959;97.92957242981821
838;lipophilicity;MLP;PAINSFilter, ZINCBasicFilter;1.0169;0.9962;97.9550451789489
733;lipophilicity;MLP;LipinskiFilter, PAINSFilter;1.0169;0.9963;97.971841234876
538;lipophilicity;MLP;BrenkFilter, TiceHerbicidesFilter;1.0169;0.9964;97.9823348511453
706;lipophilicity;MLP;InpharmaticaFilter, ZINCBasicFilter;1.0169;0.9966;98.00006567293599
593;lipophilicity;MLP;FAF4LeadlikeFilter, ZINCBasicFilter;1.0169;0.9971;98.05044282955313
469;lipophilicity;MLP;BeyondRo5Filter, NIBRFilter;1.0169;0.9987;98.2068320561883
474;lipophilicity;MLP;BeyondRo5Filter, REOSFilter;1.0169;0.9988;98.21739562041826
598;lipophilicity;MLP;GhoseFilter, InpharmaticaFilter;1.0169;0.9991;98.24734656847141
691;lipophilicity;MLP;InpharmaticaFilter, NIBRFilter;1.0169;1.0001;98.33968492057116
952;lipophilicity;SGD;GlaxoFilter, RuleOfVeberFilter;482070154095.9755;474560409350.9616;98.44218840739126
860;lipophilicity;MLP;REOSFilter, ZINCDruglikeFilter;1.0169;1.0011;98.44410098606949
1699;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, NIHFilter;0.9215;0.9075;98.4848273070347
591;lipophilicity;MLP;FAF4LeadlikeFilter, TiceInsecticidesFilter;1.0169;1.0017;98.49681992575807
466;lipophilicity;MLP;BeyondRo5Filter, LipinskiFilter;1.0169;1.0027;98.5949669867916
478;lipophilicity;MLP;BeyondRo5Filter, RuleOfVeberFilter;1.0169;1.0028;98.60931243259856
571;lipophilicity;MLP;FAF4LeadlikeFilter, GlaxoFilter;1.0169;1.003;98.62881650428116
1685;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, BMSFilter;0.9215;0.9089;98.6330908044977
1418;lipophilicity;Gradient Boosting Regressor;NIBRFilter, PAINSFilter;0.9185;0.9064;98.68213113093692
579;lipophilicity;MLP;FAF4LeadlikeFilter, NIBRFilter;1.0169;1.0039;98.71764707688631
535;lipophilicity;MLP;BrenkFilter, RuleOfVeberFilter;1.0169;1.0041;98.73552178654393
546;lipophilicity;MLP;FAF4DruglikeFilter, GSKFilter;1.0169;1.0043;98.75149609125089
1556;lipophilicity;SGD;BeyondRo5Filter, LipinskiFilter;427781094874.2798;422625869951.4764;98.79489183029034
735;lipophilicity;MLP;LipinskiFilter, REOSFilter;1.0169;1.0049;98.81734546466137
638;lipophilicity;MLP;GlaxoFilter, TiceHerbicidesFilter;1.0169;1.0051;98.8361466703548
541;lipophilicity;MLP;BrenkFilter, ZINCBasicFilter;1.0169;1.0053;98.85804226190785
617;lipophilicity;MLP;GhoseFilter, ZINCBasicFilter;1.0169;1.0055;98.86957581480146
584;lipophilicity;MLP;FAF4LeadlikeFilter, REOSFilter;1.0169;1.0055;98.87571044120035
1728;lipophilicity;Gradient Boosting Regressor;BMSFilter, NIHFilter;0.9215;0.9111;98.87937555402185
612;lipophilicity;MLP;GhoseFilter, RuleOfXuFilter;1.0169;1.0057;98.89372923916633
515;lipophilicity;MLP;BrenkFilter, FAF4DruglikeFilter;1.0169;1.0058;98.89903306194559
701;lipophilicity;MLP;InpharmaticaFilter, RuleOfXuFilter;1.0169;1.006;98.92184887147457
761;lipophilicity;MLP;MLSMRFilter, TiceInsecticidesFilter;1.0169;1.0061;98.93524093207722
1022;lipophilicity;SGD;InpharmaticaFilter, ValenceDiscoveryFilter;482070154095.9755;477267605519.3225;99.00376562708819
588;lipophilicity;MLP;FAF4LeadlikeFilter, RuleOfXuFilter;1.0169;1.0074;99.06334072477193
730;lipophilicity;MLP;LipinskiFilter, NIBRFilter;1.0169;1.0081;99.1304754478054
582;lipophilicity;MLP;FAF4LeadlikeFilter, PAINSFilter;1.0169;1.0083;99.15362903095702
1698;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, NIBRFilter;0.9215;0.9139;99.18048570826178
605;lipophilicity;MLP;GhoseFilter, OpreaFilter;1.0169;1.0089;99.20801390578467
774;lipophilicity;MLP;MolecularWeightFilter, RuleOfVeberFilter;1.0169;1.009;99.21816174690044
519;lipophilicity;MLP;BrenkFilter, GSKFilter;1.0169;1.0092;99.23459390121482
1726;lipophilicity;Gradient Boosting Regressor;BMSFilter, MolecularWeightFilter;0.9215;0.9148;99.27629161379818
1269;lipophilicity;Gradient Boosting Regressor;GlaxoFilter, RuleOfVeberFilter;0.9185;0.9118;99.27753940114286
905;lipophilicity;MLP;TiceHerbicidesFilter, ZINCDruglikeFilter;1.0169;1.0101;99.32561823236684
1707;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, RuleOfVeberFilter;0.9215;0.9154;99.34309519847329
603;lipophilicity;MLP;GhoseFilter, NIBRFilter;1.0169;1.0103;99.34867136544634
661;lipophilicity;MLP;GSKFilter, TiceInsecticidesFilter;1.0169;1.0106;99.37776797008945
629;lipophilicity;MLP;GlaxoFilter, PAINSFilter;1.0169;1.0106;99.37927237069208
856;lipophilicity;MLP;REOSFilter, TiceHerbicidesFilter;1.0169;1.0108;99.39482727676085
518;lipophilicity;MLP;BrenkFilter, GlaxoFilter;1.0169;1.0109;99.4004323786315
839;lipophilicity;MLP;PAINSFilter, ZINCDruglikeFilter;1.0169;1.0109;99.41011744363377
1575;lipophilicity;SGD;BeyondRo5Filter, ZINCDruglikeFilter;427781094874.2798;425464866154.1151;99.4585481340999
801;lipophilicity;MLP;NIHFilter, REOSFilter;1.0169;1.0119;99.50275091159587
503;lipophilicity;MLP;BMSFilter, REOSFilter;1.0169;1.0119;99.50275091159587
1400;lipophilicity;Gradient Boosting Regressor;MolecularWeightFilter, NIHFilter;0.9185;0.9141;99.5296400288951
602;lipophilicity;MLP;GhoseFilter, MolecularWeightFilter;1.0169;1.0122;99.53181759798609
460;lipophilicity;MLP;BeyondRo5Filter, GhoseFilter;1.0169;1.0122;99.53181759798609
600;lipophilicity;MLP;GhoseFilter, LipinskiFilter;1.0169;1.0122;99.53181759798609
1701;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, PAINSFilter;0.9215;0.9175;99.56747093967616
1373;lipophilicity;Gradient Boosting Regressor;LipinskiFilter, RuleOfVeberFilter;0.9185;0.9146;99.57638956892151
895;lipophilicity;MLP;RuleOfXuFilter, ZINCBasicFilter;1.0169;1.0127;99.58501794265675
458;lipophilicity;MLP;BeyondRo5Filter, FAF4DruglikeFilter;1.0169;1.0129;99.60398523846246
1546;lipophilicity;SGD;BeyondRo5Filter, BMSFilter;427781094874.2798;426105135436.0932;99.6082203121484
1697;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, MolecularWeightFilter;0.9215;0.918;99.62690783416541
791;lipophilicity;MLP;NIBRFilter, RuleOfXuFilter;1.0169;1.0133;99.6370708201261
1713;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, ZINCBasicFilter;0.9215;0.9182;99.64714746314036
1471;lipophilicity;Gradient Boosting Regressor;PAINSFilter, ValenceDiscoveryFilter;0.9185;0.9152;99.64805864949888
1738;lipophilicity;Gradient Boosting Regressor;BMSFilter, SureChEMBLFilter;0.9215;0.9183;99.65167925821198
1690;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, GlaxoFilter;0.9215;0.9183;99.65873286250283
1709;lipophilicity;Gradient Boosting Regressor;BeyondRo5Filter, SureChEMBLFilter;0.9215;0.9188;99.71101220607133
833;lipophilicity;MLP;PAINSFilter, RuleOfXuFilter;1.0169;1.014;99.71217918272856
1402;lipophilicity;Gradient Boosting Regressor;MolecularWeightFilter, PAINSFilter;0.9185;0.9161;99.73909359795964
544;lipophilicity;MLP;FAF4DruglikeFilter, GhoseFilter;1.0169;1.0144;99.7458724157386
902;lipophilicity;MLP;TiceHerbicidesFilter, TiceInsecticidesFilter;1.0169;1.0144;99.75287290961137
606;lipophilicity;MLP;GhoseFilter, PAINSFilter;1.0169;1.0148;99.78956063684056
1462;lipophilicity;Gradient Boosting Regressor;PAINSFilter, REOSFilter;0.9185;0.9166;99.79830267433991
1430;lipophilicity;Gradient Boosting Regressor;NIBRFilter, ZINCBasicFilter;0.9185;0.917;99.84442802592581
768;lipophilicity;MLP;MolecularWeightFilter, PAINSFilter;1.0169;1.0155;99.85465473377502
654;lipophilicity;MLP;GSKFilter, REOSFilter;1.0169;1.0155;99.85743031470952
662;lipophilicity;MLP;GSKFilter, ValenceDiscoveryFilter;1.0169;1.0155;99.86187028371393
1413;lipophilicity;Gradient Boosting Regressor;MolecularWeightFilter, ValenceDiscoveryFilter;0.9185;0.9173;99.87337012639365
569;lipophilicity;MLP;FAF4DruglikeFilter, ZINCDruglikeFilter;1.0169;1.0157;99.8802360052852
1399;lipophilicity;Gradient Boosting Regressor;MolecularWeightFilter, NIBRFilter;0.9185;0.9174;99.88443259964367
608;lipophilicity;MLP;GhoseFilter, REOSFilter;1.0169;1.0158;99.88468134520738
1545;lipophilicity;Gradient Boosting Regressor;ZINCBasicFilter, ZINCDruglikeFilter;0.9185;0.9174;99.88565501418671
1414;lipophilicity;Gradient Boosting Regressor;MolecularWeightFilter, ZINCBasicFilter;0.9185;0.9179;99.93512275556178
