;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
41;bace;GradientBoostingClassifier;MLSMRFilter;78.5053;-18.4167;76.5408
3;bace;LogisticRegression;FAF4DruglikeFilter;79.796;-19.7298;75.2747
57;bace;GradientBoostingClassifier;ZINCDruglikeFilter;78.5053;-18.5845;76.3271
76;bace;GaussianNB;PfizerFilter;59.4958;0.3982;100.6692
16;bace;LogisticRegression;OpreaFilter;79.796;-19.9714;74.972
45;bace;GradientBoostingClassifier;OpreaFilter;78.5053;-18.8797;75.951
58;bace;GaussianNB;BeyondRo5Filter;59.4958;0.0;100.0
75;bace;GaussianNB;PAINSFilter;59.4958;0.0;100.0
71;bace;GaussianNB;MolecularWeightFilter;59.4958;0.0;100.0
54;bace;GradientBoostingClassifier;TiceInsecticidesFilter;78.5053;-19.6828;74.9281
59;bace;GaussianNB;BMSFilter;59.4958;-0.8523;98.5675
73;bace;GaussianNB;NIHFilter;59.4958;-0.8523;98.5675
32;bace;GradientBoostingClassifier;FAF4DruglikeFilter;78.5053;-20.459;73.9393
72;bace;GaussianNB;NIBRFilter;59.4958;-1.5301;97.4283
68;bace;GaussianNB;LINTFilter;59.4958;-1.7045;97.135
37;bace;GradientBoostingClassifier;HaoFilter;78.5053;-20.8907;73.3894
34;bace;GradientBoostingClassifier;GhoseFilter;78.5053;-21.2263;72.962
67;bace;GaussianNB;InpharmaticaFilter;59.4958;-2.2302;96.2515
79;bace;GaussianNB;RuleOfVeberFilter;59.4958;-2.6597;95.5296
80;bace;GaussianNB;RuleOfXuFilter;59.4958;-2.9818;94.9882
60;bace;GaussianNB;BrenkFilter;59.4958;-3.2324;94.5671
69;bace;GaussianNB;LipinskiFilter;59.4958;-3.6283;93.9016
12;bace;LogisticRegression;MLSMRFilter;79.796;-24.0515;69.8587
64;bace;GaussianNB;GlaxoFilter;59.4958;-3.8878;93.4654
36;bace;GradientBoostingClassifier;GSKFilter;78.5053;-23.2261;70.4146
81;bace;GaussianNB;SureChEMBLFilter;59.4958;-4.9593;91.6645
84;bace;GaussianNB;ValenceDiscoveryFilter;59.4958;-6.9435;88.3295
82;bace;GaussianNB;TiceHerbicidesFilter;59.4958;-6.9636;88.2957
7;bace;LogisticRegression;GSKFilter;79.796;-27.2772;65.8163
5;bace;LogisticRegression;GhoseFilter;79.796;-27.3175;65.7659
85;bace;GaussianNB;ZINCBasicFilter;59.4958;-7.1671;87.9535
70;bace;GaussianNB;MLSMRFilter;59.4958;-7.2029;87.8934
66;bace;GaussianNB;HaoFilter;59.4958;-7.7264;87.0136
86;bace;GaussianNB;ZINCDruglikeFilter;59.4958;-7.8606;86.788
77;bace;GaussianNB;REOSFilter;59.4958;-8.0597;86.4534
83;bace;GaussianNB;TiceInsecticidesFilter;59.4958;-8.4288;85.833
61;bace;GaussianNB;FAF4DruglikeFilter;59.4958;-8.4489;85.7992
74;bace;GaussianNB;OpreaFilter;59.4958;-9.0171;84.8442
63;bace;GaussianNB;GhoseFilter;59.4958;-9.6054;83.8553
65;bace;GaussianNB;GSKFilter;59.4958;-9.6054;83.8553
62;bace;GaussianNB;FAF4LeadlikeFilter;59.4958;-10.1087;83.0094
