;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
687;bace;GradientBoostingClassifier;"MolecularWeightFilter;PfizerFilter";78.4605;-2.5255;96.7812
660;bace;GradientBoostingClassifier;"LipinskiFilter;RuleOfXuFilter";78.4605;-2.5725;96.7213
473;bace;GradientBoostingClassifier;"BrenkFilter;RuleOfVeberFilter";78.4605;-2.6038;96.6814
736;bace;GradientBoostingClassifier;"PAINSFilter;PfizerFilter";78.4605;-2.6441;96.6301
614;bace;GradientBoostingClassifier;"InpharmaticaFilter;LipinskiFilter";78.4605;-2.6463;96.6272
245;bace;LogisticRegression;"LINTFilter;TiceHerbicidesFilter";79.796;-4.031;94.9484
625;bace;GradientBoostingClassifier;"InpharmaticaFilter;RuleOfXuFilter";78.4605;-2.7268;96.5246
62;bace;LogisticRegression;"BrenkFilter;LINTFilter";79.796;-4.1696;94.7746
301;bace;LogisticRegression;"NIBRFilter;PfizerFilter";79.796;-4.2099;94.7242
305;bace;LogisticRegression;"NIBRFilter;RuleOfXuFilter";79.796;-4.2547;94.6681
426;bace;GradientBoostingClassifier;"BeyondRo5Filter;ZINCBasicFilter";78.4605;-2.9371;96.2566
213;bace;LogisticRegression;"InpharmaticaFilter;LINTFilter";79.796;-4.2994;94.612
740;bace;GradientBoostingClassifier;"PAINSFilter;RuleOfXuFilter";78.4605;-2.9908;96.1882
709;bace;GradientBoostingClassifier;"NIBRFilter;ValenceDiscoveryFilter";78.4605;-3.0445;96.1197
658;bace;GradientBoostingClassifier;"LipinskiFilter;RuleOfFourFilter";78.4605;-3.1161;96.0285
61;bace;LogisticRegression;"BrenkFilter;InpharmaticaFilter";79.796;-4.456;94.4158
232;bace;LogisticRegression;"LINTFilter;LipinskiFilter";79.796;-4.4605;94.4102
696;bace;GradientBoostingClassifier;"MolecularWeightFilter;ZINCBasicFilter";78.4605;-3.1339;96.0057
634;bace;GradientBoostingClassifier;"LINTFilter;MolecularWeightFilter";78.4605;-3.1339;96.0057
652;bace;GradientBoostingClassifier;"LipinskiFilter;NIBRFilter";78.4605;-3.1384;96.0
749;bace;GradientBoostingClassifier;"PfizerFilter;RuleOfXuFilter";78.4605;-3.1496;95.9857
470;bace;GradientBoostingClassifier;"BrenkFilter;PfizerFilter";78.4605;-3.1608;95.9715
617;bace;GradientBoostingClassifier;"InpharmaticaFilter;NIBRFilter";78.4605;-3.1675;95.9629
1;bace;LogisticRegression;"BeyondRo5Filter;BrenkFilter";79.796;-4.5589;94.2868
53;bace;LogisticRegression;"BMSFilter;ZINCBasicFilter";79.796;-4.5634;94.2812
323;bace;LogisticRegression;"NIHFilter;ZINCBasicFilter";79.796;-4.5634;94.2812
296;bace;LogisticRegression;"MolecularWeightFilter;ZINCBasicFilter";79.796;-4.5723;94.27
420;bace;GradientBoostingClassifier;"BeyondRo5Filter;RuleOfVeberFilter";78.4605;-3.2391;95.8717
797;bace;GradientBoostingClassifier;"ValenceDiscoveryFilter;ZINCBasicFilter";78.4605;-3.2972;95.7976
421;bace;GradientBoostingClassifier;"BeyondRo5Filter;RuleOfXuFilter";78.4605;-3.3644;95.712
345;bace;LogisticRegression;"PAINSFilter;ZINCBasicFilter";79.796;-4.7065;94.1018
26;bace;LogisticRegression;"BeyondRo5Filter;ZINCBasicFilter";79.796;-4.7289;94.0738
317;bace;LogisticRegression;"NIHFilter;RuleOfVeberFilter";79.796;-4.7423;94.057
47;bace;LogisticRegression;"BMSFilter;RuleOfVeberFilter";79.796;-4.7423;94.057
638;bace;GradientBoostingClassifier;"LINTFilter;PAINSFilter";78.4605;-3.4695;95.578
453;bace;GradientBoostingClassifier;"BMSFilter;ZINCBasicFilter";78.4605;-3.4829;95.5609
636;bace;GradientBoostingClassifier;"LINTFilter;NIHFilter";78.4605;-3.4851;95.5581
20;bace;LogisticRegression;"BeyondRo5Filter;RuleOfVeberFilter";79.796;-4.8273;93.9504
717;bace;GradientBoostingClassifier;"NIHFilter;RuleOfVeberFilter";78.4605;-3.512;95.5239
304;bace;LogisticRegression;"NIBRFilter;RuleOfVeberFilter";79.796;-4.8542;93.9168
447;bace;GradientBoostingClassifier;"BMSFilter;RuleOfVeberFilter";78.4605;-3.5321;95.4982
290;bace;LogisticRegression;"MolecularWeightFilter;RuleOfVeberFilter";79.796;-4.8899;93.8719
739;bace;GradientBoostingClassifier;"PAINSFilter;RuleOfVeberFilter";78.4605;-3.5612;95.4612
744;bace;GradientBoostingClassifier;"PAINSFilter;ValenceDiscoveryFilter";78.4605;-3.5679;95.4526
745;bace;GradientBoostingClassifier;"PAINSFilter;ZINCBasicFilter";78.4605;-3.5791;95.4383
659;bace;GradientBoostingClassifier;"LipinskiFilter;RuleOfVeberFilter";78.4605;-3.5858;95.4298
630;bace;GradientBoostingClassifier;"InpharmaticaFilter;ZINCBasicFilter";78.4605;-3.5903;95.4241
690;bace;GradientBoostingClassifier;"MolecularWeightFilter;RuleOfVeberFilter";78.4605;-3.6194;95.387
339;bace;LogisticRegression;"PAINSFilter;RuleOfVeberFilter";79.796;-4.9705;93.771
436;bace;GradientBoostingClassifier;"BMSFilter;LINTFilter";78.4605;-3.6507;95.3471
63;bace;LogisticRegression;"BrenkFilter;LipinskiFilter";79.796;-5.0018;93.7318
351;bace;LogisticRegression;"PfizerFilter;TiceHerbicidesFilter";79.796;-5.0197;93.7094
66;bace;LogisticRegression;"BrenkFilter;NIBRFilter";79.796;-5.0286;93.6981
353;bace;LogisticRegression;"PfizerFilter;ValenceDiscoveryFilter";79.796;-5.0331;93.6925
723;bace;GradientBoostingClassifier;"NIHFilter;ZINCBasicFilter";78.4605;-3.7446;95.2274
224;bace;LogisticRegression;"InpharmaticaFilter;RuleOfVeberFilter";79.796;-5.3105;93.3449
722;bace;GradientBoostingClassifier;"NIHFilter;ValenceDiscoveryFilter";78.4605;-3.975;94.9337
310;bace;LogisticRegression;"NIBRFilter;ZINCBasicFilter";79.796;-5.3597;93.2832
243;bace;LogisticRegression;"LINTFilter;RuleOfXuFilter";79.796;-5.3776;93.2608
444;bace;GradientBoostingClassifier;"BMSFilter;PfizerFilter";78.4605;-4.0645;94.8197
704;bace;GradientBoostingClassifier;"NIBRFilter;RuleOfVeberFilter";78.4605;-4.0802;94.7997
621;bace;GradientBoostingClassifier;"InpharmaticaFilter;PfizerFilter";78.4605;-4.1137;94.7569
624;bace;GradientBoostingClassifier;"InpharmaticaFilter;RuleOfVeberFilter";78.4605;-4.1339;94.7313
409;bace;GradientBoostingClassifier;"BeyondRo5Filter;LINTFilter";78.4605;-4.1495;94.7113
392;bace;LogisticRegression;"TiceHerbicidesFilter;ZINCBasicFilter";79.796;-5.5476;93.0478
613;bace;GradientBoostingClassifier;"InpharmaticaFilter;LINTFilter";78.4605;-4.2256;94.6144
230;bace;LogisticRegression;"InpharmaticaFilter;ZINCBasicFilter";79.796;-5.5879;92.9973
714;bace;GradientBoostingClassifier;"NIHFilter;PfizerFilter";78.4605;-4.3016;94.5175
753;bace;GradientBoostingClassifier;"PfizerFilter;ValenceDiscoveryFilter";78.4605;-4.3151;94.5004
307;bace;LogisticRegression;"NIBRFilter;TiceHerbicidesFilter";79.796;-5.6594;92.9076
452;bace;GradientBoostingClassifier;"BMSFilter;ValenceDiscoveryFilter";78.4605;-4.3307;94.4804
656;bace;GradientBoostingClassifier;"LipinskiFilter;PfizerFilter";78.4605;-4.3978;94.3949
50;bace;LogisticRegression;"BMSFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
320;bace;LogisticRegression;"NIHFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
262;bace;LogisticRegression;"LipinskiFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
293;bace;LogisticRegression;"MolecularWeightFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
23;bace;LogisticRegression;"BeyondRo5Filter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
695;bace;GradientBoostingClassifier;"MolecularWeightFilter;ValenceDiscoveryFilter";78.4605;-4.4739;94.2979
342;bace;LogisticRegression;"PAINSFilter;TiceHerbicidesFilter";79.796;-5.8652;92.6497
665;bace;GradientBoostingClassifier;"LipinskiFilter;ZINCBasicFilter";78.4605;-4.5566;94.1924
374;bace;LogisticRegression;"RuleOfVeberFilter;TiceHerbicidesFilter";79.796;-5.9503;92.5432
425;bace;GradientBoostingClassifier;"BeyondRo5Filter;ValenceDiscoveryFilter";78.4605;-4.702;94.0071
664;bace;GradientBoostingClassifier;"LipinskiFilter;ValenceDiscoveryFilter";78.4605;-4.7848;93.9016
777;bace;GradientBoostingClassifier;"RuleOfVeberFilter;ZINCBasicFilter";78.4605;-4.796;93.8874
372;bace;LogisticRegression;"RuleOfVeberFilter;RuleOfXuFilter";79.796;-6.165;92.2741
479;bace;GradientBoostingClassifier;"BrenkFilter;ZINCBasicFilter";78.4605;-4.8497;93.819
397;bace;LogisticRegression;"ValenceDiscoveryFilter;ZINCBasicFilter";79.796;-6.1874;92.246
376;bace;LogisticRegression;"RuleOfVeberFilter;ValenceDiscoveryFilter";79.796;-6.2768;92.1339
635;bace;GradientBoostingClassifier;"LINTFilter;NIBRFilter";78.4605;-4.9459;93.6964
478;bace;GradientBoostingClassifier;"BrenkFilter;ValenceDiscoveryFilter";78.4605;-5.0823;93.5225
52;bace;LogisticRegression;"BMSFilter;ValenceDiscoveryFilter";79.796;-6.42;91.9545
322;bace;LogisticRegression;"NIHFilter;ValenceDiscoveryFilter";79.796;-6.42;91.9545
377;bace;LogisticRegression;"RuleOfVeberFilter;ZINCBasicFilter";79.796;-6.4469;91.9208
629;bace;GradientBoostingClassifier;"InpharmaticaFilter;ValenceDiscoveryFilter";78.4605;-5.1181;93.4768
344;bace;LogisticRegression;"PAINSFilter;ValenceDiscoveryFilter";79.796;-6.4871;91.8704
25;bace;LogisticRegression;"BeyondRo5Filter;ValenceDiscoveryFilter";79.796;-6.514;91.8367
295;bace;LogisticRegression;"MolecularWeightFilter;ValenceDiscoveryFilter";79.796;-6.514;91.8367
74;bace;LogisticRegression;"BrenkFilter;RuleOfXuFilter";79.796;-6.6213;91.7022
782;bace;GradientBoostingClassifier;"RuleOfXuFilter;ValenceDiscoveryFilter";78.4605;-5.306;93.2373
765;bace;GradientBoostingClassifier;"RuleOfFourFilter;RuleOfVeberFilter";78.4605;-5.3821;93.1404
259;bace;LogisticRegression;"LipinskiFilter;RuleOfVeberFilter";79.796;-6.7555;91.534
632;bace;GradientBoostingClassifier;"LINTFilter;LipinskiFilter";78.4605;-5.4917;93.0007
391;bace;LogisticRegression;"TiceHerbicidesFilter;ValenceDiscoveryFilter";79.796;-6.8316;91.4387
309;bace;LogisticRegression;"NIBRFilter;ValenceDiscoveryFilter";79.796;-6.8987;91.3546
772;bace;GradientBoostingClassifier;"RuleOfVeberFilter;RuleOfXuFilter";78.4605;-5.5744;92.8952
383;bace;LogisticRegression;"RuleOfXuFilter;ZINCBasicFilter";79.796;-6.9121;91.3377
639;bace;GradientBoostingClassifier;"LINTFilter;PfizerFilter";78.4605;-5.5879;92.8781
265;bace;LogisticRegression;"LipinskiFilter;ZINCBasicFilter";79.796;-6.9569;91.2817
227;bace;LogisticRegression;"InpharmaticaFilter;TiceHerbicidesFilter";79.796;-6.9837;91.248
643;bace;GradientBoostingClassifier;"LINTFilter;RuleOfXuFilter";78.4605;-5.702;92.7327
229;bace;LogisticRegression;"InpharmaticaFilter;ValenceDiscoveryFilter";79.796;-7.1537;91.035
264;bace;LogisticRegression;"LipinskiFilter;ValenceDiscoveryFilter";79.796;-7.1671;91.0182
783;bace;GradientBoostingClassifier;"RuleOfXuFilter;ZINCBasicFilter";78.4605;-5.9972;92.3564
417;bace;GradientBoostingClassifier;"BeyondRo5Filter;PfizerFilter";78.4605;-6.0353;92.3079
710;bace;GradientBoostingClassifier;"NIBRFilter;ZINCBasicFilter";78.4605;-6.1292;92.1882
754;bace;GradientBoostingClassifier;"PfizerFilter;ZINCBasicFilter";78.4605;-6.3395;91.9202
382;bace;LogisticRegression;"RuleOfXuFilter;ValenceDiscoveryFilter";79.796;-7.7532;90.2837
701;bace;GradientBoostingClassifier;"NIBRFilter;PfizerFilter";78.4605;-6.6258;91.5552
360;bace;LogisticRegression;"REOSFilter;TiceHerbicidesFilter";79.796;-8.0709;89.8856
748;bace;GradientBoostingClassifier;"PfizerFilter;RuleOfVeberFilter";78.4605;-6.7913;91.3443
73;bace;LogisticRegression;"BrenkFilter;RuleOfVeberFilter";79.796;-8.2275;89.6894
79;bace;LogisticRegression;"BrenkFilter;ZINCBasicFilter";79.796;-8.308;89.5885
380;bace;LogisticRegression;"RuleOfXuFilter;TiceHerbicidesFilter";79.796;-8.3482;89.538
76;bace;LogisticRegression;"BrenkFilter;TiceHerbicidesFilter";79.796;-8.5451;89.2913
78;bace;LogisticRegression;"BrenkFilter;ValenceDiscoveryFilter";79.796;-9.583;87.9906
689;bace;GradientBoostingClassifier;"MolecularWeightFilter;RuleOfFourFilter";78.4605;-8.3013;89.4198
738;bace;GradientBoostingClassifier;"PAINSFilter;RuleOfFourFilter";78.4605;-8.355;89.3514
446;bace;GradientBoostingClassifier;"BMSFilter;RuleOfFourFilter";78.4605;-8.4019;89.2915
647;bace;GradientBoostingClassifier;"LINTFilter;ValenceDiscoveryFilter";78.4605;-8.4377;89.2459
242;bace;LogisticRegression;"LINTFilter;RuleOfVeberFilter";79.796;-9.923;87.5645
766;bace;GradientBoostingClassifier;"RuleOfFourFilter;RuleOfXuFilter";78.4605;-8.6815;88.9351
703;bace;GradientBoostingClassifier;"NIBRFilter;RuleOfFourFilter";78.4605;-8.7285;88.8753
716;bace;GradientBoostingClassifier;"NIHFilter;RuleOfFourFilter";78.4605;-8.7822;88.8068
419;bace;GradientBoostingClassifier;"BeyondRo5Filter;RuleOfFourFilter";78.4605;-8.9746;88.5617
168;bace;LogisticRegression;"GlaxoFilter;TiceHerbicidesFilter";79.796;-10.7105;86.5777
471;bace;GradientBoostingClassifier;"BrenkFilter;REOSFilter";78.4605;-9.3996;88.02
347;bace;LogisticRegression;"PfizerFilter;REOSFilter";79.796;-10.7865;86.4824
1058;bace;GaussianNB;"LipinskiFilter;RuleOfFourFilter";59.4958;9.4846;115.9416
641;bace;GradientBoostingClassifier;"LINTFilter;RuleOfFourFilter";78.4605;-9.6591;87.6892
161;bace;LogisticRegression;"GlaxoFilter;PAINSFilter";79.796;-11.1176;86.0675
608;bace;GradientBoostingClassifier;"HaoFilter;TiceHerbicidesFilter";78.4605;-9.9477;87.3215
162;bace;LogisticRegression;"GlaxoFilter;PfizerFilter";79.796;-11.3323;85.7984
49;bace;LogisticRegression;"BMSFilter;SureChEMBLFilter";79.796;-11.4352;85.6694
319;bace;LogisticRegression;"NIHFilter;SureChEMBLFilter";79.796;-11.4352;85.6694
240;bace;LogisticRegression;"LINTFilter;REOSFilter";79.796;-11.4576;85.6414
472;bace;GradientBoostingClassifier;"BrenkFilter;RuleOfFourFilter";78.4605;-10.1333;87.0848
627;bace;GradientBoostingClassifier;"InpharmaticaFilter;TiceHerbicidesFilter";78.4605;-10.1512;87.062
341;bace;LogisticRegression;"PAINSFilter;SureChEMBLFilter";79.796;-11.5023;85.5853
167;bace;LogisticRegression;"GlaxoFilter;SureChEMBLFilter";79.796;-11.5157;85.5685
773;bace;GradientBoostingClassifier;"RuleOfVeberFilter;SureChEMBLFilter";78.4605;-10.2228;86.9708
157;bace;LogisticRegression;"GlaxoFilter;MolecularWeightFilter";79.796;-11.5605;85.5124
32;bace;LogisticRegression;"BMSFilter;GlaxoFilter";79.796;-11.565;85.5068
159;bace;LogisticRegression;"GlaxoFilter;NIHFilter";79.796;-11.565;85.5068
762;bace;GradientBoostingClassifier;"REOSFilter;ValenceDiscoveryFilter";78.4605;-10.2877;86.8881
385;bace;LogisticRegression;"SureChEMBLFilter;TiceHerbicidesFilter";79.796;-11.6634;85.3835
248;bace;LogisticRegression;"LINTFilter;ZINCBasicFilter";79.796;-11.726;85.305
153;bace;LogisticRegression;"GlaxoFilter;InpharmaticaFilter";79.796;-11.9229;85.0583
791;bace;GradientBoostingClassifier;"TiceHerbicidesFilter;ValenceDiscoveryFilter";78.4605;-10.6322;86.449
302;bace;LogisticRegression;"NIBRFilter;REOSFilter";79.796;-11.9676;85.0022
315;bace;LogisticRegression;"NIHFilter;REOSFilter";79.796;-11.9766;84.991
18;bace;LogisticRegression;"BeyondRo5Filter;REOSFilter";79.796;-11.9766;84.991
288;bace;LogisticRegression;"MolecularWeightFilter;REOSFilter";79.796;-11.9766;84.991
45;bace;LogisticRegression;"BMSFilter;REOSFilter";79.796;-11.9766;84.991
357;bace;LogisticRegression;"REOSFilter;RuleOfVeberFilter";79.796;-11.9766;84.991
257;bace;LogisticRegression;"LipinskiFilter;REOSFilter";79.796;-11.9766;84.991
350;bace;LogisticRegression;"PfizerFilter;SureChEMBLFilter";79.796;-11.9855;84.9798
363;bace;LogisticRegression;"REOSFilter;ZINCBasicFilter";79.796;-12.0392;84.9125
247;bace;LogisticRegression;"LINTFilter;ValenceDiscoveryFilter";79.796;-12.075;84.8677
292;bace;LogisticRegression;"MolecularWeightFilter;SureChEMBLFilter";79.796;-12.1197;84.8116
158;bace;LogisticRegression;"GlaxoFilter;NIBRFilter";79.796;-12.16;84.7612
306;bace;LogisticRegression;"NIBRFilter;SureChEMBLFilter";79.796;-12.1779;84.7387
622;bace;GradientBoostingClassifier;"InpharmaticaFilter;REOSFilter";78.4605;-10.8782;86.1354
200;bace;LogisticRegression;"HaoFilter;OpreaFilter";79.796;-12.2181;84.6883
337;bace;LogisticRegression;"PAINSFilter;REOSFilter";79.796;-12.2495;84.649
226;bace;LogisticRegression;"InpharmaticaFilter;SureChEMBLFilter";79.796;-12.2539;84.6434
5;bace;LogisticRegression;"BeyondRo5Filter;GlaxoFilter";79.796;-12.3747;84.492
165;bace;LogisticRegression;"GlaxoFilter;RuleOfVeberFilter";79.796;-12.5045;84.3294
872;bace;GaussianNB;"BrenkFilter;RuleOfFourFilter";59.4958;7.7577;113.0391
450;bace;GradientBoostingClassifier;"BMSFilter;TiceHerbicidesFilter";78.4605;-11.2249;85.6935
58;bace;LogisticRegression;"BrenkFilter;GlaxoFilter";79.796;-12.5805;84.2341
